TimesheetKey,Week Start Date,EmployeeKey,ProjectKey,WorkLocationKey,Hours,Is Billable,Revenue,Cost
1,2024-01-01,1,18,2,25.5,True,2664.75,1199.01
2,2024-01-01,1,4,2,10.4,False,0.0,489.01
3,2024-01-08,1,2,2,28.3,True,2957.35,1330.67
4,2024-01-08,1,18,2,2.4,True,250.8,112.85
5,2024-01-08,1,4,2,4.5,False,0.0,211.59
6,2024-01-15,1,3,2,23.9,True,2497.55,1123.78
7,2024-01-15,1,4,2,12.1,False,0.0,568.94
8,2024-01-22,1,2,1,18.4,True,1922.8,865.17
9,2024-01-22,1,26,1,12.0,True,1254.0,564.24
10,2024-01-22,1,4,1,6.3,False,0.0,296.23
11,2024-01-29,1,27,2,31.8,True,3323.1,1495.24
12,2024-01-29,1,4,2,7.0,False,0.0,329.14
13,2024-02-05,1,26,2,31.9,True,3333.55,1499.94
14,2024-02-05,1,4,2,2.4,False,0.0,112.85
15,2024-02-12,1,26,2,29.1,True,3040.95,1368.28
16,2024-02-12,1,4,2,6.1,False,0.0,286.82
17,2024-02-19,1,1,2,29.2,True,3051.4,1372.98
18,2024-02-19,1,4,2,9.3,False,0.0,437.29
19,2024-02-26,1,18,3,33.4,True,3490.3,1570.47
20,2024-02-26,1,4,3,7.2,False,0.0,338.54
21,2024-03-04,1,2,1,6.8,True,710.6,319.74
22,2024-03-04,1,3,1,20.5,True,2142.25,963.91
23,2024-03-04,1,4,1,9.4,False,0.0,441.99
24,2024-03-11,1,2,2,21.0,True,2194.5,987.42
25,2024-03-11,1,4,2,11.2,False,0.0,526.62
26,2024-03-18,1,18,1,22.2,True,2319.9,1043.84
27,2024-03-18,1,4,1,11.4,False,0.0,536.03
28,2024-03-25,1,3,2,22.8,True,2382.6,1072.06
29,2024-03-25,1,4,2,14.8,False,0.0,695.9
30,2024-04-01,1,6,2,26.9,True,2811.05,1264.84
31,2024-04-01,1,4,2,8.9,False,0.0,418.48
32,2024-04-08,1,6,2,17.9,True,1870.55,841.66
33,2024-04-08,1,2,2,9.4,True,982.3,441.99
34,2024-04-08,1,4,2,11.0,False,0.0,517.22
35,2024-04-15,1,26,1,26.7,True,2790.15,1255.43
36,2024-04-15,1,4,1,7.0,False,0.0,329.14
37,2024-04-22,1,26,2,10.1,True,1055.45,474.9
38,2024-04-22,1,18,2,8.0,True,836.0,376.16
39,2024-04-22,1,4,2,16.3,False,0.0,766.43
40,2024-04-29,1,2,2,19.0,True,1985.5,893.38
41,2024-04-29,1,3,2,10.0,True,1045.0,470.2
42,2024-04-29,1,4,2,6.9,False,0.0,324.44
43,2024-05-06,1,26,2,18.1,True,1891.45,851.06
44,2024-05-06,1,6,2,8.0,True,836.0,376.16
45,2024-05-06,1,4,2,13.4,False,0.0,630.07
46,2024-05-13,1,6,2,0.9,True,94.05,42.32
47,2024-05-13,1,18,2,22.2,True,2319.9,1043.84
48,2024-05-13,1,4,2,12.5,False,0.0,587.75
49,2024-05-20,1,20,2,21.4,True,2236.3,1006.23
50,2024-05-20,1,4,2,11.7,False,0.0,550.13
51,2024-05-27,1,3,1,15.7,True,1640.65,738.21
52,2024-05-27,1,6,1,13.6,True,1421.2,639.47
53,2024-05-27,1,4,1,6.8,False,0.0,319.74
54,2024-06-03,1,26,2,23.0,True,2403.5,1081.46
55,2024-06-03,1,4,2,5.4,False,0.0,253.91
56,2024-06-10,1,20,2,17.0,True,1776.5,799.34
57,2024-06-10,1,27,2,5.2,True,543.4,244.5
58,2024-06-10,1,4,2,8.2,False,0.0,385.56
59,2024-06-17,1,3,2,31.5,True,3291.75,1481.13
60,2024-06-17,1,4,2,3.4,False,0.0,159.87
61,2024-06-24,1,2,2,19.7,True,2058.65,926.29
62,2024-06-24,1,20,2,1.7,True,177.65,79.93
63,2024-06-24,1,4,2,9.9,False,0.0,465.5
64,2024-07-01,1,18,2,15.1,True,1577.95,710.0
65,2024-07-01,1,1,2,3.2,True,334.4,150.46
66,2024-07-01,1,4,2,3.4,False,0.0,159.87
67,2024-07-08,1,18,2,12.5,True,1306.25,587.75
68,2024-07-08,1,4,2,4.9,False,0.0,230.4
69,2024-07-15,1,18,2,14.7,True,1536.15,691.19
70,2024-07-15,1,4,2,6.8,False,0.0,319.74
71,2024-07-22,1,1,2,14.6,True,1525.7,686.49
72,2024-07-22,1,4,2,6.5,False,0.0,305.63
73,2024-07-29,1,6,2,14.0,True,1463.0,658.28
74,2024-07-29,1,4,2,6.1,False,0.0,286.82
75,2024-08-05,1,1,1,15.0,True,1567.5,705.3
76,2024-08-05,1,26,1,8.2,True,856.9,385.56
77,2024-08-05,1,4,1,8.2,False,0.0,385.56
78,2024-08-12,1,2,3,1.1,True,114.95,51.72
79,2024-08-12,1,3,3,29.8,True,3114.1,1401.2
80,2024-08-12,1,4,3,1.6,False,0.0,75.23
81,2024-08-19,1,27,2,17.5,True,1828.75,822.85
82,2024-08-19,1,18,2,5.0,True,522.5,235.1
83,2024-08-19,1,4,2,10.8,False,0.0,507.82
84,2024-08-26,1,26,2,22.1,True,2309.45,1039.14
85,2024-08-26,1,4,2,11.1,False,0.0,521.92
86,2024-09-02,1,18,1,32.2,True,3364.9,1514.04
87,2024-09-02,1,4,1,6.9,False,0.0,324.44
88,2024-09-09,1,3,1,26.9,True,2811.05,1264.84
89,2024-09-09,1,4,1,9.2,False,0.0,432.58
90,2024-09-16,1,18,2,4.0,True,418.0,188.08
91,2024-09-16,1,3,2,20.7,True,2163.15,973.31
92,2024-09-16,1,4,2,11.3,False,0.0,531.33
93,2024-09-23,1,27,1,30.0,True,3135.0,1410.6
94,2024-09-23,1,4,1,6.8,False,0.0,319.74
95,2024-09-30,1,20,2,31.1,True,3249.95,1462.32
96,2024-09-30,1,4,2,8.7,False,0.0,409.07
97,2024-10-07,1,1,2,28.7,True,2999.15,1349.47
98,2024-10-07,1,4,2,11.0,False,0.0,517.22
99,2024-10-14,1,3,2,29.5,True,3082.75,1387.09
100,2024-10-14,1,4,2,3.3,False,0.0,155.17
101,2024-10-21,1,1,2,10.5,True,1097.25,493.71
102,2024-10-21,1,6,2,19.1,True,1995.95,898.08
103,2024-10-21,1,4,2,10.4,False,0.0,489.01
104,2024-10-28,1,2,1,18.5,True,1933.25,869.87
105,2024-10-28,1,18,1,3.9,True,407.55,183.38
106,2024-10-28,1,4,1,11.7,False,0.0,550.13
107,2024-11-04,1,1,2,15.4,True,1609.3,724.11
108,2024-11-04,1,3,2,13.0,True,1358.5,611.26
109,2024-11-04,1,4,2,6.2,False,0.0,291.52
110,2024-11-11,1,18,2,25.4,True,2654.3,1194.31
111,2024-11-11,1,4,2,11.6,False,0.0,545.43
