DowntimeKey,Date,MachineKey,ShiftKey,ReasonKey,Downtime Minutes,Stop Count
1,2025-01-01,1,1,3,44.0,1
2,2025-01-01,1,1,2,16.5,1
3,2025-01-01,1,2,2,94.9,3
4,2025-01-01,1,2,8,7.4,1
5,2025-01-01,1,2,1,9.9,1
6,2025-01-01,1,3,7,7.5,1
7,2025-01-01,1,3,2,110.2,3
8,2025-01-01,1,3,6,16.5,1
9,2025-01-01,1,3,3,14.3,1
10,2025-01-01,2,1,1,25.3,2
11,2025-01-01,2,1,5,4.7,1
12,2025-01-01,2,1,2,4.9,1
13,2025-01-01,2,2,8,8.1,1
14,2025-01-01,2,3,3,15.7,1
15,2025-01-01,2,3,5,7.0,1
16,2025-01-01,2,3,4,52.4,1
17,2025-01-01,2,3,2,33.9,1
18,2025-01-01,3,1,5,1.3,1
19,2025-01-01,3,1,3,27.2,2
20,2025-01-01,3,1,6,18.0,1
21,2025-01-01,3,1,8,19.3,1
22,2025-01-01,3,2,1,27.4,3
23,2025-01-01,3,2,2,6.4,1
24,2025-01-01,3,2,3,58.0,1
25,2025-01-01,3,2,5,35.7,1
26,2025-01-01,3,2,4,37.6,1
27,2025-01-01,3,3,10,21.8,1
28,2025-01-01,3,3,1,15.5,2
29,2025-01-01,4,2,2,83.5,2
30,2025-01-01,4,2,4,79.0,1
31,2025-01-01,5,1,4,35.5,2
32,2025-01-01,5,1,3,45.4,1
33,2025-01-01,5,1,2,20.9,1
34,2025-01-01,5,1,8,16.7,1
35,2025-01-01,5,2,1,5.5,1
36,2025-01-01,5,2,4,23.0,1
37,2025-01-01,5,2,2,22.4,1
38,2025-01-01,5,2,5,5.9,1
39,2025-01-01,5,3,1,25.2,2
40,2025-01-01,5,3,4,39.6,2
41,2025-01-01,5,3,2,23.4,1
42,2025-01-01,5,3,3,30.9,2
43,2025-01-01,6,1,3,3.6,1
44,2025-01-01,6,1,1,9.0,1
45,2025-01-01,6,2,3,17.3,1
46,2025-01-01,6,2,5,23.5,2
47,2025-01-01,6,2,8,8.7,1
48,2025-01-01,6,3,2,31.1,2
49,2025-01-01,6,3,4,35.1,1
50,2025-01-01,6,3,5,9.1,1
51,2025-01-01,6,3,1,26.0,2
52,2025-01-01,6,3,3,2.7,1
53,2025-01-01,7,1,3,5.3,1
54,2025-01-01,7,1,4,35.1,1
55,2025-01-01,7,1,2,35.3,1
56,2025-01-01,7,1,5,7.4,2
57,2025-01-01,7,2,3,40.9,3
58,2025-01-01,7,2,7,11.5,1
59,2025-01-01,7,2,1,30.3,3
60,2025-01-01,7,3,3,64.9,3
61,2025-01-01,7,3,1,15.0,2
62,2025-01-01,7,3,8,18.0,1
63,2025-01-01,7,3,7,15.4,1
64,2025-01-01,8,1,2,84.4,2
65,2025-01-01,8,1,1,4.6,1
66,2025-01-01,8,2,3,71.3,2
67,2025-01-01,8,2,7,8.1,1
68,2025-01-01,8,2,6,4.5,1
69,2025-01-01,8,2,2,2.5,1
70,2025-01-01,8,2,1,8.3,2
71,2025-01-01,8,2,4,28.3,1
72,2025-01-01,8,3,6,70.2,2
73,2025-01-01,8,3,2,94.6,2
74,2025-01-01,8,3,3,33.1,2
75,2025-01-01,8,3,8,4.6,1
76,2025-01-01,8,3,1,9.7,1
77,2025-01-01,9,1,9,124.6,1
78,2025-01-01,9,1,1,3.1,1
79,2025-01-01,9,2,1,18.3,2
80,2025-01-01,9,3,7,13.9,1
81,2025-01-01,9,3,2,68.8,2
82,2025-01-01,9,3,6,31.2,1
83,2025-01-01,9,3,3,37.8,1
84,2025-01-01,9,3,1,12.0,1
85,2025-01-01,10,1,1,3.2,1
86,2025-01-01,10,1,2,39.4,1
87,2025-01-01,10,2,2,11.3,1
88,2025-01-01,10,2,1,17.0,2
89,2025-01-01,10,3,6,50.2,1
90,2025-01-01,10,3,5,26.3,1
91,2025-01-01,11,1,2,39.1,2
92,2025-01-01,11,1,1,4.0,1
93,2025-01-01,11,2,6,15.8,1
94,2025-01-01,11,2,3,17.5,1
95,2025-01-01,11,3,3,83.6,4
96,2025-01-01,11,3,8,27.7,1
97,2025-01-01,11,3,4,28.1,1
98,2025-01-01,11,3,5,5.7,1
99,2025-01-01,11,3,1,20.6,1
100,2025-01-01,11,3,6,26.4,1
101,2025-01-01,11,3,2,22.3,1
102,2025-01-01,12,1,6,28.2,1
103,2025-01-01,12,1,1,2.8,1
104,2025-01-01,12,2,3,22.2,2
105,2025-01-01,12,2,1,7.0,1
106,2025-01-01,12,2,2,9.0,1
107,2025-01-01,12,3,5,30.5,1
108,2025-01-01,12,3,2,23.9,1
109,2025-01-01,12,3,1,8.9,1
110,2025-01-02,1,1,4,31.6,1
111,2025-01-02,1,1,3,12.6,1
112,2025-01-02,1,3,2,33.4,2
113,2025-01-02,1,3,8,11.6,1
114,2025-01-02,2,1,6,30.6,1
115,2025-01-02,2,1,3,10.9,1
116,2025-01-02,2,2,8,28.7,1
117,2025-01-02,2,2,4,48.4,1
118,2025-01-02,2,3,2,5.9,1
119,2025-01-02,2,3,1,7.0,1
120,2025-01-02,3,1,6,33.0,1
121,2025-01-02,3,1,1,6.1,1
122,2025-01-02,3,2,4,33.2,1
123,2025-01-02,3,2,5,9.1,1
124,2025-01-02,3,2,3,32.1,1
125,2025-01-02,3,2,1,27.3,2
126,2025-01-02,3,2,7,4.2,1
127,2025-01-02,3,2,6,32.4,1
128,2025-01-02,3,3,7,26.1,2
129,2025-01-02,3,3,1,1.5,1
130,2025-01-02,3,3,2,83.8,2
131,2025-01-02,4,1,1,27.3,1
132,2025-01-02,4,2,1,4.1,1
133,2025-01-02,4,3,2,17.0,1
134,2025-01-02,5,1,8,2.8,1
135,2025-01-02,5,1,1,33.0,4
136,2025-01-02,5,1,6,25.1,1
137,2025-01-02,5,2,5,16.4,1
