ProductionKey,Date,MachineKey,ShiftKey,Planned Minutes,Run Minutes,Ideal Minutes,Units Produced,Units Good
1,2025-01-01,1,1,480.0,419.5,376.4,1882,1869
2,2025-01-01,1,2,480.0,367.8,325.6,1628,1609
3,2025-01-01,1,3,480.0,331.5,281.8,1409,1392
4,2025-01-01,2,1,480.0,445.1,398.2,1991,1952
5,2025-01-01,2,2,480.0,471.9,414.2,2071,2044
6,2025-01-01,2,3,480.0,371.0,323.4,1617,1591
7,2025-01-01,3,1,480.0,414.2,350.6,1558,1526
8,2025-01-01,3,2,480.0,314.9,262.1,1165,1138
9,2025-01-01,3,3,458.2,442.7,354.4,1575,1544
10,2025-01-01,4,1,480.0,480.0,427.3,2699,2675
11,2025-01-01,4,2,480.0,317.5,280.2,1770,1760
12,2025-01-01,4,3,480.0,480.0,429.4,2712,2665
13,2025-01-01,5,1,480.0,361.5,305.2,872,859
14,2025-01-01,5,2,480.0,423.2,365.8,1045,1022
15,2025-01-01,5,3,480.0,360.9,307.3,878,857
16,2025-01-01,6,1,480.0,467.4,395.9,1131,1099
17,2025-01-01,6,2,480.0,430.5,373.1,1066,1050
18,2025-01-01,6,3,480.0,376.0,305.9,874,858
19,2025-01-01,7,1,480.0,396.9,317.2,793,772
20,2025-01-01,7,2,480.0,397.3,327.6,819,796
21,2025-01-01,7,3,480.0,366.7,293.2,733,716
22,2025-01-01,8,1,480.0,391.0,328.1,856,838
23,2025-01-01,8,2,480.0,357.0,305.1,796,783
24,2025-01-01,8,3,480.0,267.8,217.0,566,559
25,2025-01-01,9,1,355.4,352.3,329.6,1041,1024
26,2025-01-01,9,2,480.0,461.7,427.8,1351,1331
27,2025-01-01,9,3,480.0,316.3,268.5,848,836
28,2025-01-01,10,1,480.0,437.4,376.8,1507,1485
29,2025-01-01,10,2,480.0,451.7,401.2,1605,1590
30,2025-01-01,10,3,480.0,403.5,343.8,1375,1359
31,2025-01-01,11,1,480.0,436.9,378.3,1297,1263
32,2025-01-01,11,2,480.0,446.7,379.2,1300,1265
33,2025-01-01,11,3,480.0,265.6,221.4,759,740
34,2025-01-01,12,1,480.0,449.0,373.1,1399,1391
35,2025-01-01,12,2,480.0,441.8,396.3,1486,1470
36,2025-01-01,12,3,480.0,416.7,373.3,1400,1380
37,2025-01-02,1,1,480.0,435.8,383.4,1917,1897
38,2025-01-02,1,2,480.0,480.0,440.8,2204,2188
39,2025-01-02,1,3,480.0,435.0,388.0,1940,1921
40,2025-01-02,2,1,480.0,438.5,399.4,1997,1972
41,2025-01-02,2,2,480.0,402.9,351.0,1755,1738
42,2025-01-02,2,3,480.0,467.1,395.2,1976,1953
43,2025-01-02,3,1,480.0,440.9,371.9,1653,1614
44,2025-01-02,3,2,480.0,341.7,277.2,1232,1200
45,2025-01-02,3,3,480.0,368.6,293.4,1304,1283
46,2025-01-02,4,1,480.0,452.7,407.2,2572,2547
47,2025-01-02,4,2,480.0,475.9,425.1,2685,2660
48,2025-01-02,4,3,480.0,463.0,391.7,2474,2460
49,2025-01-02,5,1,480.0,419.1,374.5,1070,1057
50,2025-01-02,5,2,480.0,406.9,345.8,988,966
51,2025-01-02,5,3,480.0,443.0,376.2,1075,1055
52,2025-01-02,6,1,480.0,370.6,296.8,848,832
53,2025-01-02,6,2,480.0,446.7,383.6,1096,1066
54,2025-01-02,6,3,441.3,361.3,292.2,835,817
55,2025-01-02,7,1,480.0,427.9,358.8,897,876
56,2025-01-02,7,2,480.0,334.0,272.0,680,663
57,2025-01-02,7,3,480.0,435.2,343.2,858,834
58,2025-01-02,8,1,480.0,387.6,326.6,852,839
59,2025-01-02,8,2,480.0,428.4,359.6,938,913
60,2025-01-02,8,3,480.0,307.2,246.1,642,626
61,2025-01-02,9,1,480.0,458.2,402.5,1271,1258
62,2025-01-02,9,2,480.0,448.0,407.9,1288,1269
63,2025-01-02,9,3,480.0,473.2,417.7,1319,1300
64,2025-01-02,10,1,480.0,237.5,204.0,816,801
65,2025-01-02,10,2,480.0,450.8,405.2,1621,1599
66,2025-01-02,10,3,480.0,261.0,218.0,872,854
67,2025-01-02,11,1,480.0,450.5,392.6,1346,1322
68,2025-01-02,11,2,480.0,454.8,395.5,1356,1330
69,2025-01-02,11,3,480.0,418.4,349.1,1197,1174
70,2025-01-02,12,1,480.0,405.9,350.4,1314,1299
71,2025-01-02,12,2,480.0,463.4,412.0,1545,1520
72,2025-01-02,12,3,480.0,377.4,339.2,1272,1248
73,2025-01-03,1,1,480.0,480.0,433.0,2165,2135
74,2025-01-03,1,2,480.0,475.4,422.2,2111,2080
