CostKey,Month Start Date,CampaignKey,ChannelKey,Cost Amount,Cost Type
1,2022-01-01,1,1,5540.32,Media
2,2022-01-01,1,1,2014.66,Agency
3,2022-01-01,1,1,1813.2,Staff
4,2022-01-01,1,1,705.13,Materials
5,2022-02-01,1,1,5364.19,Media
6,2022-02-01,1,1,1950.61,Agency
7,2022-02-01,1,1,1755.55,Staff
8,2022-02-01,1,1,682.71,Materials
9,2022-03-01,1,1,7969.45,Media
10,2022-03-01,1,1,2897.98,Agency
11,2022-03-01,1,1,2608.18,Staff
12,2022-03-01,1,1,1014.29,Materials
13,2022-04-01,1,1,7198.18,Media
14,2022-04-01,1,1,2617.52,Agency
15,2022-04-01,1,1,2355.77,Staff
16,2022-04-01,1,1,916.13,Materials
17,2022-05-01,1,1,8760.11,Media
18,2022-05-01,1,1,3185.49,Agency
19,2022-05-01,1,1,2866.94,Staff
20,2022-05-01,1,1,1114.92,Materials
21,2022-06-01,1,1,8437.35,Media
22,2022-06-01,1,1,3068.13,Agency
23,2022-06-01,1,1,2761.31,Staff
24,2022-06-01,1,1,1073.84,Materials
25,2022-07-01,1,1,6075.75,Media
26,2022-07-01,1,1,2209.36,Agency
27,2022-07-01,1,1,1988.43,Staff
28,2022-07-01,1,1,773.28,Materials
29,2022-08-01,1,1,7420.2,Media
30,2022-08-01,1,1,2698.25,Agency
31,2022-08-01,1,1,2428.43,Staff
32,2022-08-01,1,1,944.39,Materials
33,2022-09-01,1,1,9556.31,Media
34,2022-09-01,1,1,3475.02,Agency
35,2022-09-01,1,1,3127.52,Staff
36,2022-09-01,1,1,1216.26,Materials
37,2022-10-01,1,1,10589.85,Media
38,2022-10-01,1,1,3850.86,Agency
39,2022-10-01,1,1,3465.77,Staff
40,2022-10-01,1,1,1347.8,Materials
41,2022-11-01,1,1,9696.78,Media
42,2022-11-01,1,1,3526.1,Agency
43,2022-11-01,1,1,3173.49,Staff
44,2022-11-01,1,1,1234.14,Materials
45,2022-12-01,1,1,29463.42,Media
46,2022-12-01,1,1,10713.97,Agency
47,2022-12-01,1,1,9642.57,Staff
48,2022-12-01,1,1,3749.89,Materials
49,2023-01-01,10,1,6103.47,Media
50,2023-01-01,10,1,2219.44,Agency
51,2023-01-01,10,1,1997.5,Staff
52,2023-01-01,10,1,776.8,Materials
53,2023-02-01,10,1,6997.66,Media
54,2023-02-01,10,1,2544.6,Agency
55,2023-02-01,10,1,2290.14,Staff
56,2023-02-01,10,1,890.61,Materials
57,2023-03-01,10,1,7608.77,Media
58,2023-03-01,10,1,2766.83,Agency
59,2023-03-01,10,1,2490.14,Staff
60,2023-03-01,10,1,968.39,Materials
61,2023-04-01,10,1,8959.33,Media
62,2023-04-01,10,1,3257.94,Agency
63,2023-04-01,10,1,2932.14,Staff
64,2023-04-01,10,1,1140.28,Materials
65,2023-05-01,10,1,10075.35,Media
66,2023-05-01,10,1,3663.76,Agency
67,2023-05-01,10,1,3297.39,Staff
68,2023-05-01,10,1,1282.32,Materials
69,2023-06-01,10,1,6011.76,Media
70,2023-06-01,10,1,2186.1,Agency
71,2023-06-01,10,1,1967.49,Staff
72,2023-06-01,10,1,765.13,Materials
73,2023-07-01,10,1,5294.47,Media
74,2023-07-01,10,1,1925.26,Agency
75,2023-07-01,10,1,1732.74,Staff
76,2023-07-01,10,1,673.84,Materials
77,2023-08-01,10,1,8047.18,Media
78,2023-08-01,10,1,2926.25,Agency
79,2023-08-01,10,1,2633.62,Staff
80,2023-08-01,10,1,1024.19,Materials
81,2023-09-01,10,1,8698.7,Media
82,2023-09-01,10,1,3163.16,Agency
83,2023-09-01,10,1,2846.85,Staff
84,2023-09-01,10,1,1107.11,Materials
85,2023-10-01,10,1,10532.67,Media
86,2023-10-01,10,1,3830.06,Agency
87,2023-10-01,10,1,3447.06,Staff
88,2023-10-01,10,1,1340.52,Materials
89,2023-11-01,10,1,11479.68,Media
90,2023-11-01,10,1,4174.43,Agency
91,2023-11-01,10,1,3756.99,Staff
92,2023-11-01,10,1,1461.05,Materials
93,2023-12-01,10,1,35222.33,Media
94,2023-12-01,10,1,12808.12,Agency
95,2023-12-01,10,1,11527.31,Staff
96,2023-12-01,10,1,4482.84,Materials
97,2024-01-01,19,1,6013.79,Media
98,2024-01-01,19,1,2186.83,Agency
99,2024-01-01,19,1,1968.15,Staff
100,2024-01-01,19,1,765.39,Materials
101,2024-02-01,19,1,6882.57,Media
102,2024-02-01,19,1,2502.75,Agency
103,2024-02-01,19,1,2252.48,Staff
104,2024-02-01,19,1,875.96,Materials
105,2024-03-01,19,1,7381.96,Media
106,2024-03-01,19,1,2684.35,Agency
107,2024-03-01,19,1,2415.91,Staff
108,2024-03-01,19,1,939.52,Materials
109,2024-04-01,19,1,7454.19,Media
110,2024-04-01,19,1,2710.62,Agency
111,2024-04-01,19,1,2439.55,Staff
112,2024-04-01,19,1,948.72,Materials
113,2024-05-01,19,1,6964.46,Media
114,2024-05-01,19,1,2532.53,Agency
115,2024-05-01,19,1,2279.28,Staff
116,2024-05-01,19,1,886.39,Materials
117,2024-06-01,19,1,6267.82,Media
118,2024-06-01,19,1,2279.21,Agency
119,2024-06-01,19,1,2051.29,Staff
120,2024-06-01,19,1,797.72,Materials
121,2024-07-01,19,1,4544.27,Media
122,2024-07-01,19,1,1652.46,Agency
123,2024-07-01,19,1,1487.22,Staff
124,2024-07-01,19,1,578.36,Materials
125,2024-08-01,19,1,6132.78,Media
126,2024-08-01,19,1,2230.1,Agency
127,2024-08-01,19,1,2007.09,Staff
128,2024-08-01,19,1,780.54,Materials
129,2024-09-01,19,1,8904.73,Media
130,2024-09-01,19,1,3238.08,Agency
131,2024-09-01,19,1,2914.28,Staff
132,2024-09-01,19,1,1133.33,Materials
133,2024-10-01,19,1,8809.93,Media
134,2024-10-01,19,1,3203.61,Agency
135,2024-10-01,19,1,2883.25,Staff
136,2024-10-01,19,1,1121.26,Materials
137,2024-11-01,19,1,12337.33,Media
138,2024-11-01,19,1,4486.3,Agency
139,2024-11-01,19,1,4037.67,Staff
140,2024-11-01,19,1,1570.21,Materials
141,2024-12-01,19,1,29164.93,Media
142,2024-12-01,19,1,10605.43,Agency
143,2024-12-01,19,1,9544.89,Staff
144,2024-12-01,19,1,3711.9,Materials
145,2025-01-01,28,1,5761.79,Media
146,2025-01-01,28,1,2095.2,Agency
147,2025-01-01,28,1,1885.68,Staff
148,2025-01-01,28,1,733.32,Materials
149,2025-02-01,28,1,6733.38,Media
150,2025-02-01,28,1,2448.5,Agency
151,2025-02-01,28,1,2203.65,Staff
152,2025-02-01,28,1,856.98,Materials
153,2025-03-01,28,1,7384.64,Media
154,2025-03-01,28,1,2685.33,Agency
155,2025-03-01,28,1,2416.79,Staff
156,2025-03-01,28,1,939.86,Materials
157,2025-04-01,28,1,9792.4,Media
158,2025-04-01,28,1,3560.87,Agency
159,2025-04-01,28,1,3204.78,Staff
160,2025-04-01,28,1,1246.31,Materials
161,2025-05-01,28,1,9774.07,Media
162,2025-05-01,28,1,3554.21,Agency
163,2025-05-01,28,1,3198.79,Staff
