DonationKey,Donation Date,DonorKey,CampaignKey,ChannelKey,FundraiserKey,Gift Amount,Gift Type,Payment Method,Is First Gift
87238,2022-01-01,8411,2,2,,109.99,Recurring,Card,True
56518,2022-01-01,5452,5,5,,9.95,One-off,Card,True
35887,2022-01-01,3401,2,2,,44.91,One-off,Card,True
58457,2022-01-01,5640,3,3,,33.9,One-off,Bank Transfer,True
71028,2022-01-01,6871,1,1,22.0,31.76,Recurring,Card,True
109633,2022-01-01,10586,2,2,,20.64,Recurring,Bank Transfer,True
52126,2022-01-01,5010,4,4,,33.18,One-off,Card,True
116572,2022-01-01,11240,2,2,,18.14,One-off,Bank Transfer,True
30684,2022-01-01,2877,2,2,,28.55,One-off,Card,True
11167,2022-01-02,1078,6,6,21.0,72.97,Recurring,Card,True
25568,2022-01-02,2390,1,1,29.0,8.95,One-off,Card,True
61163,2022-01-02,5923,2,2,,30.55,One-off,MobilePay,True
20428,2022-01-02,1934,4,4,,50.1,Recurring,Card,True
95448,2022-01-02,9177,1,1,38.0,12.74,Recurring,MobilePay,True
64714,2022-01-03,6274,5,5,,19.38,Recurring,MobilePay,True
83609,2022-01-03,8028,1,1,34.0,24.19,Recurring,Card,True
94319,2022-01-03,9068,6,6,26.0,6.99,Recurring,Card,True
63685,2022-01-03,6179,1,1,2.0,48.1,Recurring,Card,True
74889,2022-01-03,7241,1,1,37.0,6.86,Recurring,MobilePay,True
5025,2022-01-03,463,1,1,15.0,6.41,Recurring,MobilePay,True
79123,2022-01-04,7648,1,1,9.0,15.6,Recurring,Bank Transfer,True
55109,2022-01-04,5326,2,2,,11.37,One-off,Card,True
79908,2022-01-04,7718,2,2,,97.67,One-off,MobilePay,True
31878,2022-01-04,2997,1,1,1.0,35.21,Recurring,Bank Transfer,True
96269,2022-01-04,9264,2,2,,44.51,Recurring,Card,True
46750,2022-01-04,4501,1,1,13.0,61.38,Recurring,Bank Transfer,True
63099,2022-01-04,6111,4,4,,62.24,One-off,Bank Transfer,True
49627,2022-01-05,4770,7,7,,4695.55,Major Gift,Card,True
1059,2022-01-05,108,1,1,2.0,17.46,One-off,Card,True
59749,2022-01-05,5779,2,2,,17.41,Recurring,Card,True
22625,2022-01-05,2124,4,4,,34.96,One-off,Card,True
33396,2022-01-05,3129,1,1,31.0,33.41,Recurring,Card,True
35727,2022-01-05,3391,4,4,,67.38,One-off,Bank Transfer,True
72725,2022-01-05,7049,4,4,,48.12,One-off,Card,True
42894,2022-01-05,4099,6,6,29.0,24.53,One-off,Card,True
60182,2022-01-05,5814,5,5,,21.25,Recurring,Card,True
104292,2022-01-05,10014,2,2,,13.97,Recurring,Card,True
34710,2022-01-05,3271,6,6,10.0,17.44,Recurring,Card,True
49970,2022-01-06,4814,5,5,,46.9,Recurring,Bank Transfer,True
55215,2022-01-06,5335,6,6,32.0,45.35,One-off,Card,True
42112,2022-01-06,4035,2,2,,88.62,Recurring,Card,True
53017,2022-01-06,5092,1,1,5.0,20.08,Recurring,Card,True
70613,2022-01-06,6830,5,5,,53.24,Recurring,Card,True
10008,2022-01-07,976,1,1,33.0,21.26,Recurring,Bank Transfer,True
15975,2022-01-07,1543,2,2,,120.17,One-off,Bank Transfer,True
8811,2022-01-07,835,3,3,,19.67,One-off,Card,True
33721,2022-01-07,3159,2,2,,65.68,One-off,Card,True
47948,2022-01-08,4613,1,1,20.0,8.65,Recurring,MobilePay,True
59155,2022-01-08,5719,2,2,,120.23,Recurring,Card,True
24159,2022-01-09,2253,2,2,,8.2,Recurring,Bank Transfer,True
99405,2022-01-09,9561,5,5,,56.99,Recurring,MobilePay,True
92832,2022-01-09,8930,2,2,,87.64,Recurring,Card,True
113964,2022-01-09,11012,2,2,,62.96,One-off,Card,True
42405,2022-01-09,4050,2,2,,28.58,Recurring,Bank Transfer,True
66068,2022-01-09,6398,4,4,,143.84,One-off,Bank Transfer,True
16799,2022-01-09,1615,1,1,39.0,31.96,Recurring,Card,True
13607,2022-01-09,1312,5,5,,27.96,One-off,MobilePay,True
96096,2022-01-10,9244,2,2,,8.86,Recurring,Card,True
30075,2022-01-10,2821,3,3,,12.12,One-off,MobilePay,True
93656,2022-01-10,9003,1,1,12.0,90.71,Recurring,Bank Transfer,True
53831,2022-01-10,5192,2,2,,57.36,One-off,Card,True
62105,2022-01-10,6010,2,2,,17.52,Recurring,Card,True
116372,2022-01-11,11226,1,1,30.0,17.52,Recurring,Card,True
32940,2022-01-11,3083,2,2,,36.32,One-off,Bank Transfer,True
1332,2022-01-11,140,1,1,40.0,21.85,Recurring,Card,True
88035,2022-01-11,8489,2,2,,17.67,Recurring,Card,True
53915,2022-01-11,5204,1,1,21.0,8.94,Recurring,Card,True
9623,2022-01-11,936,1,1,33.0,170.14,One-off,Card,True
1667,2022-01-13,173,1,1,1.0,23.45,Recurring,Card,True
15911,2022-01-13,1538,1,1,18.0,41.04,Recurring,Card,True
7403,2022-01-13,688,4,4,,117.42,One-off,MobilePay,True
96680,2022-01-13,9295,1,1,14.0,18.13,Recurring,Card,True
62573,2022-01-13,6051,2,2,,8.92,One-off,Card,True
9425,2022-01-13,910,1,1,10.0,31.06,Recurring,Card,True
119965,2022-01-14,11547,2,2,,10.42,Recurring,MobilePay,True
10328,2022-01-14,1009,3,3,,74.94,One-off,Bank Transfer,True
38729,2022-01-14,3710,1,1,37.0,30.26,Recurring,Bank Transfer,True
51604,2022-01-14,4965,1,1,3.0,42.29,Recurring,Card,True
45473,2022-01-14,4370,2,2,,41.79,One-off,Card,True
117108,2022-01-14,11297,3,3,,23.69,One-off,Bank Transfer,True
89215,2022-01-14,8603,2,2,,19.88,One-off,Card,True
31949,2022-01-15,3003,2,2,,28.6,One-off,Card,True
84957,2022-01-15,8180,2,2,,33.23,One-off,MobilePay,True
71469,2022-01-15,6923,2,2,,93.42,Recurring,Bank Transfer,True
48279,2022-01-15,4641,1,1,22.0,2.38,Recurring,Card,True
29435,2022-01-15,2763,1,1,27.0,25.77,Recurring,Card,True
94472,2022-01-15,9085,4,4,,39.97,One-off,Card,True
18697,2022-01-15,1784,6,6,32.0,47.6,Recurring,Card,True
21257,2022-01-16,1998,6,6,9.0,66.22,Recurring,Invoice,True
3719,2022-01-16,343,1,1,7.0,39.36,Recurring,Card,True
22962,2022-01-16,2155,2,2,,58.44,One-off,MobilePay,True
22132,2022-01-16,2079,5,5,,9.36,Recurring,Card,True
114232,2022-01-16,11031,1,1,33.0,43.57,Recurring,Invoice,True
660,2022-01-16,73,1,1,1.0,15.22,Recurring,Bank Transfer,True
